ep_num,ep_title,ep_air_date,ep_guest1,ep_guest2,ep_joke,ep_joke_topic,ep_smi,ep_smi_topic,ep_round_t,ep_round_h,ep_url
1,Episode 1: Unlearning (with Durga Chew-Bose),3/24/15,Durga Chew-Bose,n/a,joke,a ham bush,n/a,n/a,Rae Sremmurd,Harriet Tubman,https://megaphone.link/BUZ1410984301
2,Episode 2: You Know White People (with Jazmine Hughes),3/26/15,Jazmine Hughes,n/a,n/a,n/a,n/a,n/a,Stephen Colbert,Constance Wu,https://megaphone.link/BUZ4188033034
3,"Episode 3: Oh, the Racism! (with Issa Rae)",3/31/15,Issa Rae,n/a,joke,peanuts,n/a,n/a,Kendrick Lamar,Bob's Burgers,https://megaphone.link/BUZ8440265571
4,Episode 4: A Podcast of One's Own (with Gene Demby),4/7/15,Gene Demby,n/a,joke,a parrot and an affair,n/a,n/a,Fake glasses-wearers,Every glasses-wearer,https://megaphone.link/BUZ3970861481
5,Episode 5: Young East African Girl (with Hannah Giorgis),4/14/15,Hannah Giorgis,n/a,n/a,n/a,n/a,n/a,FLOTUS Black Girls Rock,Chance's Arthur Theme,https://megaphone.link/BUZ8247594646
6,Episode 6: Lit Like Bic (with Desus Nice),4/21/15,Desus,n/a,n/a,n/a,n/a,n/a,No Flex Zone baby,Veep,https://megaphone.link/BUZ3886407561
7,Episode 7: Living in America,4/28/15,n/a,n/a,joke,nuns,n/a,n/a,Nail technicians,Veep (take 2),https://megaphone.link/BUZ3410638409
8,Episode 8: Shmoney For The Ancestors (with Rachel Kaadzi Ghansah),5/5/15,Rachel Kaadzi-Ghansah,n/a,n/a,n/a,n/a,n/a,Juvie / Back That Azz Up,J.Lo / The Boy Next Door,https://megaphone.link/BUZ5339387599
9,Episode 9: You're Gonna Be a Boss One Day (with Kaya Thomas),5/12/15,Kaya Thomas,n/a,n/a,n/a,n/a,n/a,"Louisville, KY",Fault In Our Stars,https://megaphone.link/BUZ6219877392
10,Episode 10: You Tickled Whitney Houston?! (with Brandy),5/19/15,Brandy,n/a,n/a,n/a,n/a,n/a,Amel Larrieux,ice cream sandwiches,https://megaphone.link/BUZ7637323270
11,Episode 11: Bob Loblaw (with Chirlane McCray),5/26/15,Chirlane McCray,n/a,joke,a caterpillar,n/a,n/a,"Sia ""Elastic Heart""",Hammocks,https://megaphone.link/BUZ3518504531
12,Episode 12: Casual Negro Spirituals (with Jean Grae),6/2/15,Jean Grae,n/a,n/a,n/a,n/a,n/a,FKA Twigs,Nicki Minaj,https://megaphone.link/BUZ5320621665
13,Episode 13: Another Round LIVE! (with Roxane Gay),6/9/15,Roxane Gay,n/a,joke,a cat scan,n/a,n/a,Female hyenas,Herself,https://megaphone.link/BUZ7066997854
14,Episode 14: Multitudity (with Tiq Milan),6/16/15,Tiq Milan,n/a,joke,a punch line,n/a,n/a,David Alan Grier,The Office,https://megaphone.link/BUZ5881329720
15,Episode 15: Crush That Rage Into a Diamond (with Jay Smooth),6/23/15,Jay Smooth,n/a,joke,a Christian bear,n/a,n/a,I'm The Map,Danity Kane / Lemonade,https://megaphone.link/BUZ2100489702
16,Episode 16: Another Read (with Crissle West),6/30/15,Crissle,n/a,n/a,n/a,n/a,n/a,Obama / N-Word,3/12 Minutes Doc,https://megaphone.link/BUZ3981220734
17,Episode 17: Caribbean Vibez (with Stacy-Marie Ishmael),7/7/15,Stacy-Marie Ishmael,n/a,n/a,n/a,Y,n/a,Bad Boy Records,Emeka,https://megaphone.link/BUZ2086358854
bonus_1,a bonus Episode: Delirious Dispatches From Essence Fest 2015,7/10/15,n/a,n/a,n/a,n/a,n/a,n/a,the city of new orleans,n/a,https://megaphone.link/BUZ9428747021
shot_1,Shot #1: The N-Word,7/14/15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ8342067109
shot_2,Shot #2: Feminist vs Meninist,7/21/15,n/a,n/a,joke,a snail and a turtle,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ7217757872
18,Episode 18: Unstoppable (with Lianne La Havas),7/28/15,Lianne La Havas,n/a,n/a,n/a,n/a,n/a,Her mom,Teen soccer players,https://megaphone.link/BUZ6272999433
19,Episode 19: Was That a Microaggression or Just Tuesday? (with Audie Cornish),8/4/15,Audie Cornish,n/a,n/a,n/a,n/a,n/a,Amandla Stenberg,Disposable cameras,https://megaphone.link/BUZ3494391912
20,Episode 20: Peak Blackness (with Rembert Browne),8/11/15,Rembert Browne,n/a,n/a,n/a,n/a,n/a,the pod squad,Tig Notaro,https://megaphone.link/BUZ2672162466
21,Episode 21: The Reverse Jackie Robinson (with Chris Hayes),8/18/15,Chris Hayes,n/a,n/a,n/a,Y,raises,crocheting / Alanna Okun,a bra that actually fits,https://megaphone.link/BUZ9040802615
22,Episode 22: A Dude Named Hot Sauce (with Yassir Lester),8/25/15,Yassir Lester,n/a,n/a,n/a,n/a,n/a,anyone living w/ anxiety,candles,https://megaphone.link/BUZ7883146772
23,Episode 23: The Audacity of Despair (with David Simon),9/1/15,David Simon,n/a,n/a,n/a,n/a,n/a,Flavor of Love universe,Carly Slay Jepsen,https://megaphone.link/BUZ9197054096
shot_3,Shot #3: Anxiety,9/8/15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ5934191108
24,Episode 24: Ida Bae Wells (with Nikole Hannah-Jones),9/15/15,Nikole Hannah-Jones,n/a,n/a,n/a,n/a,n/a,hookah,Tony Hawk game soundtracks,https://megaphone.link/BUZ6747722361
